Year ended September,Kill status,Animal type,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
1982,Graded for Export,Cows - Beef,Number,,number,Number of animals,not available
1982,Graded for Export,Steers - Beef,Number,,number,Number of animals,not available
1982,Graded for Export,Bulls - Beef,Number,,number,Number of animals,not available
1982,Graded for Export,Total Adult Cattle - Beef,Number,,number,Number of animals,not available
1982,Graded for Export,Calves,Number,1004109,number,Number of animals,
1982,Graded for Export,Vealers,Number,4103,number,Number of animals,
1982,Graded for Export,Calves and Vealers,Number,1008212,number,Number of animals,
1982,Graded for Export,Heifers,Number,129966,number,Number of animals,
1982,Graded for Export,Cows,Number,736212,number,Number of animals,
1982,Graded for Export,Steers,Number,530917,number,Number of animals,
1982,Graded for Export,Bulls,Number,253591,number,Number of animals,
1982,Graded for Export,Total Adult Cattle,Number,1650686,number,Number of animals,
1982,Graded for Export,Total All Cattle,Number,2658898,number,Number of animals,
1982,Graded for Export,Total Goats,Number,33953,number,Number of animals,
1982,Graded for Export,Total Horses,Number,,number,Number of animals,not available
1982,Graded for Export,Pigs (under 50kg),Number,,number,Number of animals,not available
1982,Graded for Export,Pigs (50-64.9kg),Number,,number,Number of animals,not available
1982,Graded for Export,Pigs (65-74.9kg),Number,,number,Number of animals,not available
1982,Graded for Export,Pigs (75-84.9kg),Number,,number,Number of animals,not available
1982,Graded for Export,Pigs (85-94.9kg),Number,,number,Number of animals,not available
1982,Graded for Export,Pigs (95kg and above),Number,,number,Number of animals,not available
1982,Graded for Export,Choppers,Number,,number,Number of animals,not available
1982,Graded for Export,Total pigs,Number,,number,Number of animals,not available
1982,Graded for Export,Hoggets,Number,117373,number,Number of animals,
1982,Graded for Export,Rams,Number,15530,number,Number of animals,
1982,Graded for Export,Other Adult Sheep,Number,6650626,number,Number of animals,
1982,Graded for Export,Total Adult Sheep,Number,6783529,number,Number of animals,
1982,Graded for Export,Lambs,Number,31321395,number,Number of animals,
1982,Graded for Export,Total All Sheep,Number,38104924,number,Number of animals,
1982,Graded for Export,"Total Sheep, Cattle, Goats, Horses, and Pigs",Number,40862129,number,Number of animals,
1982,Graded for Local,Vealers - Dairy,Number,,number,Number of animals,not available
1982,Graded for Local,Heifers - Dairy,Number,,number,Number of animals,not available
1982,Graded for Local,Cows - Dairy,Number,,number,Number of animals,not available
1982,Graded for Local,Steers - Dairy,Number,,number,Number of animals,not available
1982,Graded for Local,Bulls - Dairy,Number,,number,Number of animals,not available
1982,Graded for Local,Total Adult Cattle - Dairy,Number,,number,Number of animals,not available
1982,Graded for Local,Vealers - Beef,Number,,number,Number of animals,not available
1982,Graded for Local,Heifers - Beef,Number,,number,Number of animals,not available
1982,Graded for Local,Cows - Beef,Number,,number,Number of animals,not available
1982,Graded for Local,Steers - Beef,Number,,number,Number of animals,not available
1982,Graded for Local,Bulls - Beef,Number,,number,Number of animals,not available
1982,Graded for Local,Total Adult Cattle - Beef,Number,,number,Number of animals,not available
1982,Graded for Local,Calves,Number,46,number,Number of animals,
1982,Graded for Local,Vealers,Number,35497,number,Number of animals,
1982,Graded for Local,Calves and Vealers,Number,35543,number,Number of animals,
1982,Graded for Local,Heifers,Number,255784,number,Number of animals,
1982,Graded for Local,Cows,Number,60047,number,Number of animals,
1982,Graded for Local,Steers,Number,199362,number,Number of animals,
1982,Graded for Local,Bulls,Number,1217,number,Number of animals,
1982,Graded for Local,Total Adult Cattle,Number,516410,number,Number of animals,
1982,Graded for Local,Total All Cattle,Number,551953,number,Number of animals,
1982,Graded for Local,Total Goats,Number,161,number,Number of animals,
1982,Graded for Local,Total Horses,Number,,number,Number of animals,not available
1982,Graded for Local,Pigs (under 50kg),Number,,number,Number of animals,not available
1982,Graded for Local,Pigs (50-64.9kg),Number,,number,Number of animals,not available
1982,Graded for Local,Pigs (65-74.9kg),Number,,number,Number of animals,not available
1982,Graded for Local,Pigs (75-84.9kg),Number,,number,Number of animals,not available
1982,Graded for Local,Pigs (85-94.9kg),Number,,number,Number of animals,not available
1982,Graded for Local,Pigs (95kg and above),Number,,number,Number of animals,not available
1982,Graded for Local,Choppers,Number,,number,Number of animals,not available
1982,Graded for Local,Total pigs,Number,,number,Number of animals,not available
1982,Graded for Local,Hoggets,Number,906720,number,Number of animals,
1982,Graded for Local,Rams,Number,38022,number,Number of animals,
1982,Graded for Local,Other Adult Sheep,Number,1047547,number,Number of animals,
1982,Graded for Local,Total Adult Sheep,Number,1992289,number,Number of animals,
1982,Graded for Local,Lambs,Number,751859,number,Number of animals,
1982,Graded for Local,Total All Sheep,Number,2744148,number,Number of animals,
1982,Graded for Local,"Total Sheep, Cattle, Goats, Horses, and Pigs",Number,3946288,number,Number of animals,
1982,Total Graded,Vealers - Dairy,Number,,number,Number of animals,not available
1982,Total Graded,Heifers - Dairy,Number,,number,Number of animals,not available
1982,Total Graded,Cows - Dairy,Number,,number,Number of animals,not available
1982,Total Graded,Steers - Dairy,Number,,number,Number of animals,not available
1982,Total Graded,Bulls - Dairy,Number,,number,Number of animals,not available
1982,Total Graded,Total Adult Cattle - Dairy,Number,,number,Number of animals,not available
